Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Delta absorbance,Ellipticity,g-factor,Average absorbace,Weak signal flag
13,173.76835216969016,109.46754450232606,110.46754450232606,66.46754450232606,68.46754450232606,0.003949324109040166,0.008925793628759093,294.39143544459273,0.042060571999352384,0.21221284458272527,True
14,173.99906053652884,110.50851614787189,111.50851614787189,66.50851614787189,70.50851614787189,0.003912289200130842,0.021452027318638645,707.5329520483916,0.10225355933250385,0.20979247528080502,True
15,174.22981792494173,111.54947178011071,110.54947178011071,63.54947178011071,67.54947178011071,-0.0039108463076877285,0.030420858533350748,1003.3438575405502,0.13275803288910598,0.2291451437726678,True
16,174.46062431055742,120.5904113865065,120.5904113865065,75.5904113865065,77.5904113865065,0.0,0.011341345602124124,374.0614168946135,0.05751907128779687,0.19717539501598805,True
17,174.6914796690046,100.63133495453917,102.63133495453917,56.63133495453917,58.63133495453917,0.008546743942425383,0.006526239391696368,215.249092964257,0.026484929966235082,0.24641331504430986,True
18,174.92238397591188,113.67224247170589,113.67224247170589,68.67224247170589,70.67224247170589,0.0,0.012467642568768927,411.20905827398855,0.05863280238439882,0.21263937696565482,True
19,175.15333720690793,107.71313392552042,105.71313392552042,62.713133925520424,63.713133925520424,-0.00813971399751288,0.015010177655263187,495.06720970711183,0.0660063459388639,0.22740506903935945,True
20,175.38433933762138,117.75400930351316,114.75400930351316,71.75400930351316,72.75400930351316,-0.011207835005823752,0.017218593697525784,567.9054127600921,0.08337485098956109,0.20652023353758836,True
21,175.6153903436809,104.79486859323129,103.79486859323129,56.794868593231286,58.794868593231286,-0.00416413400768316,0.019194459011329074,633.0736039785797,0.07485154971883488,0.25643368886054174,True
22,175.8464902007151,102.83571178223883,101.83571178223883,53.83571178223883,56.83571178223883,-0.004243855152707396,0.027794699007996946,916.7275963394856,0.1040313630542571,0.2671761494992692,True
23,176.07763888435264,92.87653885811619,91.87653885811619,44.87653885811619,47.87653885811619,-0.004701396355154412,0.03280478854171751,1081.9708801171523,0.10953759972293875,0.2994842741185949,True
24,176.3088363702222,103.91734980846059,103.91734980846059,54.917349808460585,58.917349808460585,0.0,0.030533632421236762,1007.0633774080567,0.11666897317320171,0.26171167527040673,True
25,176.54008263395235,98.95814462088651,100.95814462088651,52.958144620886515,53.958144620886515,0.00868981658331675,-0.0005655700391028438,-18.653688689314777,-0.002080819634968564,0.2718015678045004,True
26,176.7713776511718,106.9989232830244,108.9989232830244,61.998923283024396,63.998923283024396,0.008042800443513739,0.005745719737802595,189.50591416588634,0.024541520720651175,0.2341224002866168,True
27,177.00272139750916,110.03968578252193,110.03968578252193,63.03968578252193,63.03968578252193,0.0,0.0,0.0,0.0,0.24193530182238326,True
28,177.2341138485931,103.08043210704318,102.08043210704318,55.08043210704318,57.08043210704318,-0.004233730667369642,0.019723644147062604,650.5272420755423,0.07519009025867895,0.2623170696990348,True
29,177.46555498005225,104.12116224426927,104.12116224426927,55.12116224426927,59.12116224426927,0.0,0.030424596918835475,1003.4671573517344,0.11656561096453692,0.26100834257276473,True
30,177.69704476751525,122.16187618189792,120.16187618189792,72.16187618189792,73.16187618189792,-0.007168993370225589,0.013146011300960828,433.5830849585453,0.0592016341205372,0.22205487223874523,True
31,177.92858318661078,131.20257390764345,128.20257390764345,81.20257390764345,83.20257390764345,-0.010045610483061554,0.0206125766192434,679.8461034992965,0.10406909004196216,0.19806627127163418,True
32,178.16017021296744,127.24325540923724,127.24325540923724,78.24325540923724,80.24325540923724,0.0,0.010961627849502824,361.5375272655945,0.05328756624104155,0.20570704617881924,True
33,178.39180582221388,112.28392067442701,111.28392067442701,64.28392067442701,65.28392067442701,-0.003885150705248197,0.010589022605762811,349.2482231296155,0.04469437480831138,0.23692070089754727,True
34,178.62348998997876,107.3245696909778,106.3245696909778,57.324569690977796,59.324569690977796,-0.00406552214225997,0.01895931553433192,625.3180778474822,0.07212191749551627,0.262878694753375,True
35,178.85522269189076,105.36520244667076,103.36520244667076,56.365202446670764,58.365202446670764,-0.008322846375399469,0.023465771445646058,773.9504661457067,0.09026919853503143,0.2599532490203679,True
