Index,Wavelength,Intensity,Weak signal flag
247,229.0391078432823,-18.45973390536892,True
248,229.280622870974,-67.43157832829502,True
249,229.52218121734282,15.596567875617666,True
250,229.76378285801744,35.62470469907885,True
251,230.00542776862648,32.65283213480552,True
252,230.2471159247986,7.680950175523549,True
253,230.48884730216244,64.70905881396607,True
254,230.73062187634665,50.7371580428744,True
255,230.97243962297986,-3.234752145002176,True
256,231.21430051769073,10.793328243094038,True
257,231.4562045361079,-11.17860080007199,True
258,231.69815165386,-72.15053928172665,True
259,231.9401418465757,-41.12248720908883,True
260,232.18217508988363,15.905555410630768,True
261,232.42425135941244,24.93358857022986,True
262,232.6663706307908,-12.0383877374868,True
263,232.9085328796473,-68.01037351970535,True
264,233.15073808161063,-42.982368783605125,True
265,233.3929862123094,52.045626463643885,True
266,233.6352772473723,67.0736122148785,True
267,233.87761116242797,36.101588462944164,True
268,234.119987933105,48.129555200694085,True
269,234.36240753503208,-9.84248757901014,True
270,234.60486994383785,-36.8145398832994,True
271,234.84737513515094,21.213398280703586,True
272,235.08992308460003,-37.75867309411592,True
273,235.33251376781374,-58.73075401486449,True
274,235.57514716042067,-51.70284448864072,True
275,235.81782323804956,-11.67494452253527,True
276,236.06054197632898,-8.647054123631051,True
277,236.30330335088763,-3.6191732990025685,True
278,236.5461073373541,40.40869794428363,True
279,236.7889539113571,-43.56344040083127,True
280,237.03184304852522,-65.53558834139767,True
281,237.2747747244871,-72.50774588445825,True
282,237.51774891487142,-47.479913037047936,True
283,237.76076559530682,-46.45208980619282,True
284,238.00382474142194,-24.424276198911684,True
285,238.2469263288454,-57.39647222221538,True
286,238.4900703332059,0.6313221168941254,True
287,238.73325673013204,-12.34089318857832,True
288,238.97648549525246,-23.313118145618773,True
289,239.21975660419585,52.714647238794214,True
290,239.46307003259082,-35.25759704231018,True
291,239.70642575606604,27.77014900410586,True
292,239.94982375025012,10.797885371087887,True
293,240.1932639907717,-22.174387948310596,True
294,240.4367464532595,47.85332903897188,True
295,240.6802711133421,13.881036326005187,True
296,240.92383794664812,70.90873390586671,True
