Wavelength (nm),g-factor,CD,Extinction
672,-0.166736,-1743.39,0.31704
671.5,-0.167041,-1748.87,0.317455
671,-0.167313,-1753.42,0.317765
670.5,-0.167526,-1757.83,0.318159
670,-0.167925,-1761.85,0.318129
669.5,-0.167907,-1765.44,0.318812
669,-0.167868,-1768.54,0.319445
668.5,-0.167812,-1771.24,0.32004
668,-0.167607,-1773.32,0.320806
667.5,-0.167452,-1774.93,0.321395
667,-0.167185,-1776.09,0.32212
666.5,-0.16722,-1776.67,0.322156
666,-0.167117,-1776.77,0.322375
665.5,-0.166857,-1776.43,0.322815
665,-0.166652,-1775.61,0.323061
664.5,-0.166405,-1774.35,0.323313
664,-0.165867,-1772.6,0.324042
663.5,-0.165386,-1770.41,0.324582
663,-0.164885,-1767.6,0.325053
662.5,-0.164258,-1764.55,0.325729
662,-0.163823,-1760.95,0.325928
661.5,-0.163076,-1756.88,0.326664
661,-0.162364,-1752.61,0.3273
660.5,-0.161519,-1747.55,0.328062
660,-0.160832,-1742.49,0.328511
659.5,-0.159969,-1736.77,0.329199
659,-0.159165,-1730.51,0.329666
658.5,-0.15829,-1724.04,0.33025
658,-0.15744,-1716.81,0.330641
657.5,-0.156391,-1709.3,0.331404
657,-0.155217,-1701.36,0.332356
656.5,-0.154054,-1692.96,0.333213
656,-0.153091,-1683.96,0.333526
655.5,-0.152044,-1674.46,0.33393
655,-0.151238,-1664.62,0.333735
654.5,-0.149998,-1654.35,0.334421
654,-0.149042,-1643.84,0.334426
653.5,-0.147742,-1632.81,0.335104
653,-0.146681,-1621.35,0.335159
652.5,-0.14551,-1609.67,0.335422
652,-0.144232,-1597.59,0.335855
651.5,-0.143163,-1585.01,0.3357
651,-0.141941,-1572.08,0.335827
650.5,-0.140811,-1559.68,0.335852
650,-0.139534,-1546.26,0.336009
649.5,-0.138137,-1533.28,0.336559
649,-0.136735,-1519.23,0.336893
648.5,-0.13544,-1505.62,0.337069
648,-0.134121,-1491.25,0.337135
647.5,-0.132671,-1477.37,0.337647
647,-0.131307,-1463.31,0.337906
646.5,-0.129501,-1448.35,0.339116
646,-0.128185,-1433.97,0.339198
645.5,-0.126567,-1418.58,0.339844
645,-0.125031,-1403.82,0.340441
644.5,-0.12349,-1388.21,0.340857
644,-0.121852,-1372.39,0.341502
643.5,-0.120245,-1356.51,0.342062
643,-0.118591,-1340.63,0.342774
642.5,-0.117045,-1324.69,0.34317
